// Copyright (c) 2005-2007, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	uk
Delete	Видалити
Delete contact?	Видалити контакт?
Authorize	Авторизувати
Nicknames	Нiки
Entering setup	Вхiд в налаштування аккаунта
to Archive	В архiв
Back	Назад
heap monitor	монiтор heap
Hide Splash	Ростер
Message	Повiдомлення
<Other>	<Iнший>
Append	Додати
Active Contacts	Актив. контакти
Select nickname	Вибрати НIК
Group	Группа
Join conference	Приєднатися до конференцiї
No	НI
Yes	ТАК
Re-Enter Room	Перезайти в кiмнату
New Message	Нове повiдомлення
Add	Додати
Logon	Пiдключити
Logoff	Вiдключити
Login in progress	Перевiрка паролю
at Host	Сервер
join conferences	автовхiд в конференцiю
Status	Статус
Smiles	Вкл/викл смайлики
Contact >	Контакт >
Order	Порядок
offline contacts	показати вiдключенних
Transport	Транспорт
composing events	"composing" подiї
Add Smile	Встав. смайлик
Nickname	НIK
Revoke Voice	Забрати право голосу
Commands	Команди
- (Sign)	- (знак)
Set default	Вст. як основне
Outcasts (Ban)	Iзгої(Ban)
Set affiliation to	Змiнити членство на
Hide Offlines	Приховати вiдключених
Register Account	Зареєструвати аккаунт
autologin	автоз"єднання
Publish	Публiкувати
Remove subscription	Видалити пiдписку
Set	Встановити
Application	Програма
Bookmarks	Закладки
Test sound	Тест звуку
Startup	Запуск
Edit rule	Редагувати правило
Cancel	Вiдмiна
Close	Закрити
Archive	Архiв
free 	вiльно  
Conference	Конференцiя
Sound	Звук
Login failed	Помилка авторизацiї
New Jid	Новий Jid
plain-text password	пароль вiдкр. текстом
Paste Nickname	Вставити НIК
Kick	Вигнати (kick)
Remove readed	Видалити повiдомлення
Grant Voice	Дати право голосу
Quote	Цитувати
Roster elements	Елементи ростеру
popup from background	випливати iз фону
smiles	смайлики
About	Про программу
Resource	Ресурс
Disconnected	З"єднання рoзiрвано
Edit	Редагувати
Host name/IP (optional)	I"мя хоста/IP (необов"язково)
Add rule	Додати правило
for all status types	для всiх статусiв
Paste Jid	Вставити Jid
Goto URL	Перейти по URL
Clock -	Годинник -
Login	Вiдкриття сокету
Clock offset	Змiщення годин
flash backlight	блимати пiдсвiткою
Suspend	Вiдкласти
Resume Message	Чорновик
Alert Profile >	Сигнали >
My vCard	Своя vCard
transports	транспорти
New Account	Новий аккаунт
self-contact	свої контакти
vCard	vCard
Set Subject	Встановити тему
Tools	Iнструменти
Jabber Tools	Iнструменти серверу
Port	Порт

//473
Proxy name/IP	Iм"я проксi-серверу/IP
Proxy port	Порт проксi-серверу
Autofocus	автофокус

Connect	Пiдключитися
history -	Iсторiя -
Are You sure want to discard 	Ви дiйсно збираєтесь понизити у 
 from OWNER to 	 право OWNER до 
Modify affiliation	Змiнення членства

// DO NOT TRANSLATE THIS LINES!!!
Ignore-List	Ignore-List
General	General
Stanzas	Stanzas
Not-in-list	Not-in-list
proxy CONNECT	proxy CONNECT

//476
Clear	Очистити

//494
Ask subscription	Запросити пiдписку
Grant subscription	Дозволити пiдписку

//502
Invite to conference	Запросити у конференцiю
Reason	Причина
You have been invited to 	Ви були запрошенi в 
 is inviting You to 	 запрошуе Вас в 
Visitors are not allowed to send messages to all occupants	Гостi не можуть посилати повiдомлення в загальний чат
Unaffiliate	Забрати членство
Grant Moderator	Дати право модератора
Revoke Moderator	Забрати право модератора
Grant Admin	Дати право адмiнiстратора
Grant Ownership	Дати право власника

room presences	статуси в конференцiї

 is now known as 	 мiняє НIК на 
 was banned 	 заборонили входити до кiмнати 
 was kicked 	 вигнали iз кiмнати
 has been kicked because room became members-only	 вигнали, т.як кiмната закрилася
 has left the channel	 виходить iз кiмнати
 has joined the channel as 	 заходить як 
 and 	 i 
 is now 	 тепер

Participants	Учасники
Abc	Абв

error	помилка
chat	хочу побалакати
away	вiдсутнiй
xa	давно вiдсутнiй
dnd	занятий
invisible	невидимка
offline	не в мережi


Clear Photo	Очистити фото
Camera	Камера

Hide finished	Приховати закiнчення
Transfer tasks	Задачi передачi данних 

Color tune	Настройка кольорiв
Load Skin	Загрузити тему

Select history folder	Вибiр папки iсторiї
Classic chat	Класичний чат
Digital heap monitor	Цифровий монiтор пам"ятi
Sound volume	Гучнiсть звуку
Language	Мова
Save history	Зберiгати iсторiю
Save presences	Зберiгати статуси
Save conference history	Зберiгати iсторiю конференцiї
Save conference presences	Зберiгати статуси конференцiї
1251 correction	 Коррекцiя win1251
History folder	Папка iсторiї
AutoStatus	Автостатус
AutoStatus time	Час автостатусу

Copy	Копiювати
Paste	Вставити

Save template	 Зберегти шаблон
Template	Шаблон

has set topic to	змiнив топiк на

Seen	Бачили
Idle	Бездiяльнiсть

Main menu	Головне меню

Root	Менеджер файлiв

File transfers	Передача файлiв

Choose status	Вибiр статусу
Add status	Додати статус
Remove status	Видалити статус

User	Користувач
Reason	Причина
Address	Адреса
Export to file	Експорт у файл

View	Перегляд
Stop	Зупинити
Path	Шлях
Accept file	 Прийняти файл
File	Файл
SaveTo	 Зберегти як
Sender	Вiдсилач
Size	Рoзмiр
Description	 Опис
Rejected	Вiдмiнено
Send file	Надiслати файл
To	Кому
Can't open file	 Файл не вiдкривається

New	 Новий
New Template	Новий шаблон

Save photo	Зберегти фото

User has removed autorization	Користувач видалив авторизацiю
You are now autorized	Ви авторизованi
User request autorization	Запит авторизацiї

Grant Membership	Дати мембера
Reply	Вiдповiсти
Save template	Зберегти шаблон

balloon ink	Шрифт баллону
balloon background	Фон баллону
messagelist & roster background	Колiр фону, загал.
messagelist & roster even lines	Колiр фону, чергування
messagelist & roster & common font	Загальний шрифт
message subject	Тема повiдомлення
message highlight	Пiдсвiчене повiдомлення
service discovery commands	Команди дiско
Header & Bottom background	Колiр верхньої та нижньої панелей
Header font	Колiр шрифту верхньої панелi
contact default	Звичайний контакт
contact chat	Чат контакт
contact away	"Вiдсутнiй" контакт
contact extended away	Розширене "Вiдсутнiй" контакт
contact do not disturb	"Не хвилювати" контакт
group color	Колiр групп
keylock font	Шрифт при блоку
keylock background	Фон у блоку
message incoming	Вхiдне повiдомлення
message outgoing	Вихiдне повiдомлення
message presence	Статусне повiдомлення
message auth	Повiдомлення авторизацiї
message history	Iсторiя повiдомленнь в конференцiї
progress bar remained	Залишилось прогрессу
progress bar complete	Зроблено прогрессу
progress border	Обiд прогрессу
progress bar background	Фон прогрессу
Heap mon total	Всього купи
Heap mon free	Вiльно купи
Cursor background	Фон курсору
Cursor ink & outline	Колiр шрифту курсору та ободу
Scroll border	Колiр ободу скролла
Scroll bar	Колiр бiгунка скролла
Scroll back	Колiр фону скроллу

Send status	Вiдправити статус
Sounds options	Настройки звукiв

participant	учасник
moderator	модератор
visitor	гiсть
    
none	нiхто
member	постiйний учасник
admin	адмiнiстратор
owner	власник

Opening stream	Пiдключення
Using compression	Включення компрессiї
Authenticating	Авторизацiя
Resource binding	Назначення ресурсу
Initiating session	Створення сессiї

second	секунда
seconds	секунди
seconds_	секунд

minute	хвилина
minutes	хвилини
minutes_	хвилин

hour	година
hours	години
hours_	годин

day	день
days	дня
days_	днiв

Auto xa since %t	Автостатус "Недоступ." зпрацював в %t
Auto away since %t	Автостатус "Вiдсутнiй" зпрацював в %t

Grant Membership	Дати членство

SASL login	SASL-з"єднання
Features	Можливостi
Show password	Показати пароль
No client version available	Версiя клiенту недоступна
Message limit	Кiлькiсть повiдомлень

Text wrapping	Переноси тексту
by chars	по буквам
by words	по словам
Info	Iнфо
Reply	Вiдповiсти
Send status	Встановити статус
No reason	Без причини
Recent	Iсторiя вводу

Select file	Вибрати файл
Load Photo	Загрузити фото
Clear Photo	Очистити фото
Camera	Камера
Hide finished	Заховати завершеннi
Transfer tasks	Менеджер передачi файлiв
Are you sure want to delete this message?	Ви впевненi, що хочете видалити це повiдомлення?
New conference	Нова конференцiя
Root	Корiнь диску
Decline	Вiдхилити
authorize new contacts	автоматична авторизацiя
[auto-subscribe]	[автопiдписка]
Keep-Alive	Тип Keep-Alive

Minutes before away	Таймер автостатусу (хвилини)
Automatic Away	Автозмiна статусу
disabled	виключено
keyblock / flip	блок / флiп
